name,group,type,ageMa,sigma,lambda,source,srclocation,notes
Charsonville,H,6,270,30,H74,Boga1976,p. 5669,Ar-Ar low-temperature plateau age
Kimble County,H,6,610,50,H74,Boga1976,pg. 5670,"Ar-Ar plateau age (46% 39Ar release, 800-1200C)"
Sutton,H,5,4600,20,H74,Boga1976,pg. 5667,Ar-Ar plateau age (61% of 39Ar release)
Sweetwater,H,5,290,90,H74,Boga1976,p. 5669,Ar-Ar low-temperature plateau age
Ucera,H,5,50,20,H74,Boga1976,p. 5669,"Ar-Ar plateau age (61% of 39Ar release), chosen over an inferred 40±30 Ma date"
Wellington,H,5,4520,30,H74,Boga1976,pg. 5667,Ar-Ar age (71% of 39Ar release)
Channing,H,5,4300,215,H74,Boga1976,"Table 2, pg. 5670","K-Ar age, for Ar-Ar spectra with broad plateau,  assume 10% 2sigma "
Wellman,H,5,4298.36,13.45,SJ77,Boga1980,recalculated,"Recalculated in this study: mean for 500≤T≤1350C, Boga1980, pg. 1671"
Monahans,H,5,4533,6,SJ77,Boga2001,pg. 110,Monahans light. Selected over halite and dark phases that reflect regolith and may have diffusively lost 40Ar
Portales Valley,H,6,4467.5,9.7,SJ77,Boga2009,recalculated,Recalculated in this study: mean of PV#1 and PV#2 dates reported in abstract (which just overlap at 1sigma)
DaG 896,H,im,3704,17.7,SJ77,Folc2004,pg. 2379,"Ar-Ar age of last 2 steps of heating (weighted mean, 13% of 39Ar). Interpreted as melt crystallization age."
Orvinio,H,6,4246.4,47.8,SJ77,Grie2004,recalculated,"Recalculated in this study: mean and uncertainty of plateau of melt sample OMA5 (1100-1350C fractions): Grie2004, Table A4, pg. 1491"
Yamato 74640,H,"5,6",4407,71,SJ77,Kane1979,"Table 2, pg. 200",Plateau age of 1000-1350C fraction (61% released 39Ar)
Plainview,H,5,3630,70,SJ77,Keil1980,pg. 243,"Lithic fragment, mean of 5 extractions (21-87%), no reliable age for host rock"
Dhofar 323,H,5,4508,9,SJ77,Koro2008,p. A491,Ar-Ar age of melt clast. Indistinguishable from host material dated in a separate abstract
Yanzhuang,H,6,4090,40,SJ77,Kunz1997,"Table 3, pg. 650","Plateau age of melt fragment (49% of 39Ar, 1400-1530 C) "
Rose City,H,5,3620,10,SJ77,Kunz1997,"Table 3, pg. 650",Plateau age of melt fraction (58% of 39Ar)
Travis County,H,5,830,30,SJ77,Kunz1997,"Table 3, pg. 650","Higher-temperature (1230 C, 50% of 39Ar) plateau age of whole rock"
Jilin,H,5,3943.3,59.3,SJ77,Mull1985,recalculated,"Mean of Ar-Ar plateau ages for samples 1-2, 1-4, VI-42-04 (Table 3, p. 279) which very nearly overlap at 1sigma."
Didwana-Rajod,H,5,4530,226.5,SJ77,Pali2001,"Table 5, pg. 1253","K-Ar age, assume 10% 2sigma"
Achilles,H,5,4650,232.5,T69,Rowe1965,pg. 1201,"K-Ar age, assume 10% 2sigma"
Weston,H,4,4300,215,T69,Schu1972,"Table 3, pg. 406","Mean K-Ar age of 3 fractions, assume 10% 2sigma (2sigma originally 400 Ma)"
St Mesmin (H clast),H,im,1360,68,T69,Schu1977,"Table 2, pg. 759","K-Ar age, assume 10% 2sigma (2sigma originally 100 Ma)"
Seres,H,4,1600,80,T69,Srin1977,"Table 4, pg. 979","K-Ar age, assume 10% 2sigma"
Malotas,H,5,4100,205,T69,Srin1977,"Table 4, pg. 979","K-Ar age, assume 10% 2sigma"
Yamato 75100,H,6,4490,70,SJ77,Swin2009,"Table 2, pg. 759","Precise Ar-Ar age of melt veins, first estimate reported by Swin2008"
Ourique,H,4,4478,26,SJ77,Swin2009,pg. 755,"Ar-Ar age of summed extractions in recoil dominated age spectrum (Ourique G, melt sample). Author's preferred age of impact."
LAP 031125,H,im,3942,23,SJ77,Swin2009,pg. 754,Mean of Ar-Ar plateau ages (n=3)
LAP 02240,H,im,3939,62,SJ77,Swin2009,pg. 753,"Average of high-temp plateaus (3 samples), overlaps each individual age at 1sigma"
NWA 2058,H,im,509,105,SJ77,Swin2009,pg. 755,Ar-Ar low-temperature plateau age aggregated from n=2 fractions
Gao-Guenie,H,5,303,56,SJ77,Swin2009,pg. 751,"Ar-Ar low-temperature plateau age aggregated from n=3 fractions, evidence of partial degassing across all high-temperature steps."
LAP 03922,H,im,399,27,SJ77,Swin2009,pg. 753,"Ar-Ar low-temperature plateau age aggregated from n=2 fractions, evidence of partial degassing at all high-temperature steps"
LAP 031308,H,im,752,47,SJ77,Swin2009,pg. 754,"Ar-Ar low-temperature plateau age aggregated from n=2 fractions, evidence of partial degassing at all high-temperature steps"
Nio,H,"3,4",4820,241,SJ77,Taka1989,"Table 7, pg. 939","K-Ar age, assume 10% 2sigma (2sigma originally 480 Ma)"
Kesen,H,4,4080,230,SJ77,Taka1989,"Table 7, pg. 939",K-Ar age
Numakai,H,4,4240,240,SJ77,Taka1989,"Table 7, pg. 939",K-Ar age
Tomiya,H,"4,5",4760,250,SJ77,Taka1989,"Table 7, pg. 939",K-Ar age
Sone,H,5,3410,220,SJ77,Taka1989,"Table 7, pg. 939",K-Ar age
Takenouchi,H,5,3530,220,SJ77,Taka1989,"Table 7, pg. 939",K-Ar age
Kamiomi,H,5,3140,260,SJ77,Taka1989,"Table 7, pg. 939",K-Ar age
Okabe,H,5,4050,250,SJ77,Taka1989,"Table 7, pg. 939",K-Ar age
Ogi,H,6,4240,230,SJ77,Taka1989,"Table 7, pg. 939",K-Ar age
Higashi-Koen,H,5,4250,270,SJ77,Taka1989,"Table 7, pg. 939",K-Ar age
Tulia,H,"3,4",457,24,SJ77,Trie1994,"para. 2, pg. 542 abstract",Ar-Ar low-temperature partial plateau age
Ste Marguerite,H,4,4532,16,SJ77,Trie2003,"Table 1, pg. 504",Whole rock Ar-Ar plateau age (93% of 39Ar)
Allegan,H,5,4511,11,SJ77,Trie2003,"Table 1, pg. 504",Whole rock Ar-Ar summed age (100% of 39Ar)
Richardton,H,5,4495,11,SJ77,Trie2003,"Table 1, pg. 504",Whole rock Ar-Ar summed age (100% of 39Ar)
Nadiabondi,H,5,4505,10,SJ77,Trie2003,"Table 1, pg. 504",Whole rock Ar-Ar summed age (100% of 39Ar)
Guarena,H,6,4454,6,SJ77,Trie2003,"Table 1, pg. 504","Mean of plateau ages in whole rock, feldspar and pyroxene separates"
Kernouve,H,6,4469,6,SJ77,Trie2003,"Table 1, pg. 504","Mean of plateau ages in whole rock, feldspar and pyroxene separates"
Estacado,H,6,4435,5,SJ77,Trie2003,"Table 1, pg. 504","Mean of plateau ages in whole rock, feldspar and pyroxene separates"
Forest Vale,H,4,4522,8,SJ77,Trie2003,"Table 1, pg. 504",Whole rock Ar-Ar plateau age (40% of 39Ar)
Mount Browne,H,6,4430,30,SJ77,Turn1978,pg. 1010,Ar-Ar reduced plateau age. Overlaps plateau age at 3sigma (4500 ± 30 Ma)
Queen's Mercy,H,6,4420,30,SJ77,Turn1978,pg. 1009,Reduced plateau age. Just overlaps plateau age at 2sigma (4490 ± 30 Ma)
Menow,H,4,4480,30,SJ77,Turn1978,pg. 1006,Ar-Ar high-temperature plateau age
Ochansk,H,4,4450,40,SJ77,Turn1978,pg. 1006,Ar-Ar reduced plateau age. Overlaps plateau age at 1sigma (4480 ± 30 Ma)
Butsura,H,6,4480,30,SJ77,Turn1978,pg. 1008,"Ar-Ar age: identical summed extraction, plateau, and reduced plateau ages"
Tieschitz,"H,L",3,4450,50,SJ77,Turn1978,"Fig 2, pg. 1005",Ar-Ar total/summed age; age spectrum indicates dominance of recoil in variability.
Almahata Sitta 25 (H clast),H,5,4546.00,7.11,SJ77,Turr2023,"Table 3, pg. 312", Recalculated in this study: mean of integrated ages of fractions RU21898(4537±11) and RU22316 (4555±9)
Zag,H,"3,4,5,6",4270,42,SJ77,Whit2000,recalculated,Recalculated in this study: mean of overlapping light phases and gray matrix Ar-Ar plateau ages.
ALH A77226,H,4,4190,10,SJ77,Step1988,"Table 1, pg. 374",Reduced plateau age
RKP A78002,H,4,4390,10,SJ77,Step1988,"Table 1, pg. 374","Reduced plateau age, consistent with constituent chondrule ages"
PAT 91501,L,im,4466,1.2,SJ77,Bene2008,pg. 2422,Isochron
Malakal,L,5,50,20,H74,Boga1976,p.5668,Ar-Ar reheating plateau (41% of 39Ar at 700-800C)
Wethersfield,L,6,510,20,H74,Boga1976,p.5668,Ar-Ar reheating low-temperature plateau age (64% of 39Ar)
Louisville,L,6,500,25,SJ77,Boga1980,pg. 1671,"Low-temperature plateau, no uncertainty given, assume 10% 2sigma"
Wickenburg,L,5,520,26,SJ77,Boga1980,pg. 1673,"Isochron age of extractions under 1250C, no uncertainty given, assume 10% 2sigma"
